"Geschäftspartner (Empfänger)";"Name (Empfänger)";"PLZ (Empfänger)";"Stadt (Empfänger)";"Land (Empfänger)";"Straße (Empfänger)";"Hausnummer (Empfänger)";"Zusatz 1 (Empfänger)";"Zusatz 2 (Empfänger)"
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 5";"Mario Gienapp";"";"";"";"";"";"";""
"CPNV, Centre professionnel du Nord vaudois";"Florian Glardon";"";"";"CH";"";"";"";""
"Realschule plus und Fachoberschule im Einrich";"Peter Gräber";"";"";"DE";"";"";"";""
"Technische Universität Ilmenau";"Jenny Gramsch";"";"";"DE";"";"";"";""
"eule";"Horst Grobian";"1111";"Hinterhausen";"AT";" Straß 1";"";"";""
"Erzgebirge";"Horst Grobian";"1111";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 2";"Horst Grobian";"1111";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 3";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 3";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 3";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 4";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Postyou Digital 5";"Horst Grobian";"12345";"Hinterhausen";"AT";" Straß 1";"";"";""
"Hochschule Fulda";"Clemens Groß";"";"";"DE";"";"";"";""
"ECPE European Center for Power Electronics e.V.";"Sabrina Haberl";"";"";"DE";"";"";"";""
"";"Charlie Handson";"04179";"Leipzig";"DE";"Plautstraße 80";"";"";""
"Realschule plus und Fachoberschule im Einrich";"Stefan Hartinger";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Elke Hartmann";"";"";"DE";"";"";"";""
"Technische Hochschule Brandenburg";"Jochen Heinsohn";"";"";"DE";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Lena Helle";"";"";"DE";"";"";"";""
"Junior Uni Wuppertaler Kinder- und Jugend-Universität für das Bergische Land gGmbH";"Stefan Hellhake";"";"";"DE";"";"";"";""
"Schönstätter Marienschule";"Christina Herrmann";"";"";"DE";"";"";"";""
"Schönstätter Marienschule";"Alexandra Hey";"";"";"DE";"";"";"";""
"Schulverbund Süßen";"Frank Hiller";"";"";"DE";"";"";"";""
"WissensWerkstatt Zollernalb";"Katharina Höckh";"";"";"DE";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Yvonne Holtkamp";"";"";"DE";"";"";"";""
"Ecole Polytechnique Federale de Lausanne";"Raphael Holzer";"";"";"CH";"";"";"";""
"experimenta gGmbH";"Norbert Hommrichhausen";"";"";"DE";"";"";"";""
"Festo Didactic SE";"Sabine Horlacher";"";"";"DE";"";"";"";""
"Hörnberger-Eventtechnik";"Kevin-Lee Hörnberger";"";"";"DE";"";"";"";""
"Hochschule Mannheim";"Ute Ihme";"";"";"DE";"";"";"";""
"Technische Universität Ilmenau";"Sabine Jackisch";"";"";"DE";"";"";"";""
"Pädagogische Hochschule Graubünden";"Patrik Janett";"";"";"CH";"";"";"";""
"Jugend trifft Technik e.V.";"Jens Jankowsky";"";"";"DE";"";"";"";""
"IGS Rockenhausen";"Markus Jehl";"";"";"DE";"";"";"";""
"IHK Darmstadt Rhein Main Neckar";"Richard Jordan";"";"";"DE";"";"";"";""
"Verein robotix4me";"Martin Kaiblinger";"";"";"AT";"";"";"";""
"Otto-von-Guericke-Universität Magdeburg";"Manuela Kanneberg";"";"";"DE";"";"";"";""
"Fachhochschule Nordwestschweiz";"Jürg Keller";"";"";"CH";"";"";"";""
"Technische Universität Ilmenau";"Tobias Kellner";"";"";"DE";"";"";"";""
"Jugend trifft Technik e.V.";"Sven Ketel";"";"";"DE";"";"";"";""
"Private Pädagogische Hochschule der Diözese Linz";"Andreas Kiener";"";"";"DE";"";"";"";""
"Landesverband Sächsischer Jugendbildungswerke e.V.";"Stefan Kittler";"";"";"DE";"";"";"";""
"Gymnasium am Kaiserdom";"Thomas Kögel";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Steffen Kohlert";"";"";"DE";"";"";"";""
"KMW Kinderförderung Spielerisches Aneignen von MINT-Wissen gemeinnützige GmbH";"Andreas Kolo";"";"";"DE";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Jennifer Konermann";"";"";"DE";"";"";"";""
"Landesverband Sächsischer Jugendbildungswerke e.V.";"Markus Kotte";"";"";"DE";"";"";"";""
"Stadtteilschule Horn";"Konstantin Kowalski";"";"";"DE";"";"";"";""
"Schönstätter Marienschule";"Manfred Krammer";"";"";"DE";"";"";"";""
"Verein Freunde und Förderer des BSZ 7 Leipzig e.V.";"Susann Krüger";"";"";"DE";"";"";"";""
"Fachhochschule Nordwestschweiz";"Thomas Kuhn";"";"";"CH";"";"";"";""
"Brose Fahrzeugteile SE & Co. KG, Würzburg";"Kristina Kurz";"";"";"DE";"";"";"";""
"";" Kuuhrbarr";"";"";"DE";"";"";"";""
"International School of Geneva";"Marie-France Labelle";"";"";"CH";"";"";"";""
"Jakub Stříbrný";"Silke Ladel";"";"";"DE";"";"";"";""
"Pädagogische Hochschule Graubünden";"Lilian Ladner";"";"";"CH";"";"";"";""
"Verein robotix4me";"Renate Langsam";"";"";"AT";"";"";"";""
"Jenaplanschule im Erzgebirge e. V.";"Susann Lein";"";"";"DE";"";"";"";""
"Schönstätter Marienschule";"Ulla Lensen";"";"";"DE";"";"";"";""
"Universität Heidelberg";" Lieferadresse";"75031";"Eppingen";"DE";"NanoGiants Academy e.V., Thomas Madeya, Freudenhälde 17";"";"";""
"HTL-BULME Graz-Gösting";" Lieferadresse";"8051";"Graz";"AT";"Herrn Karl Mohr, Ibererstraße 15-2";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";" Lieferadresse";"86159";"Ausburg";"DE";"Herrn Thomas Helfer, Am Technologiezentrum 5";"";"";""
"Universität Heidelberg";" Location";"69120";"Heidelberg";"DE";"IWR, Universität Heidelberg, Mathematikon, INF 205";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";" Location";"85748";"Garching";"DE";"Fakultät für Maschinenwesen der TU München, Boltzmannstr. 15";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";" Location";"86159";"Augsburg";"DE";"Technologiezentrum Augsburg, Am Technologiezentrum 5";"";"";""
"Pädagogische Hochschule Graubünden";"Christian Lonsky";"";"";"CH";"";"";"";""
"Markgraf-Georg-Friedrich-Gymnasium";"Wolfgang Lormes";"";"";"DE";"";"";"";""
"Pädagogische Hochschule Graubünden";"Pascal Lütscher";"";"";"CH";"";"";"";""
"Universität Heidelberg";"Thomas Madeya";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Thomas Madeya";"75031";"Eppingen";"DE";" Freudenhälde, 17";"";"";""
"Inda-Gymnasium Aachen";"Daniel Marburger";"";"";"DE";"";"";"";""
"Postyou Digital";"Gienapp Mario";"";"";"";"";"";"";""
"Postyou Digital";"Gienapp Mario";"";"";"";"";"";"";""
"Postyou Digital 2";"Gienapp Mario";"";"";"";"";"";"";""
"Postyou Digital 2";"Gienapp Mario";"";"";"";"";"";"";""
"HTL Bregenz - School of Engineering";"Gerhard Mayr";"";"";"AT";"";"";"";""
"Wilhelm-Gymnasium Braunschweig";"Michael Mertens";"";"";"DE";"";"";"";""
"Realschule plus und Fachoberschule im Einrich";"Christian Meyer";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Dominik Minet";"";"";"DE";"";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"Gienapp";"Michael Mittermeier";"123456";"Holperhinderfingen";"DE";" Holperallee 2";"";"";""
"HTL-BULME Graz-Gösting";"Karl Mohr";"8051";"Graz";"AT";"Ibererstraße 15-21";"";"";""
"Festo Didactic SE";"Markus Moll";"";"";"DE";"";"";"";""
"Gymnasium Stolzenau";"Christian Möller";"";"";"DE";"";"";"";""
"Hochschule Merseburg";"Heike Mrech";"";"";"DE";"";"";"";""
"Jenaplanschule im Erzgebirge e. V.";"Kirsten Müller";"";"";"DE";"";"";"";""
"Hochschule Offenburg";"Jan Münchenberg";"";"";"DE";"";"";"";""
"Plautschule";"Tina NachnameTest";"";"";"";"";"";"";""
"Jakub Stříbrný";"Tobias Nagel";"";"";"DE";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Darja Neumann";"";"";"DE";"";"";"";""
"Robo-Si";"Roberto Otupacca";"";"";"CH";"";"";"";""
"Wilhelm-Gymnasium Braunschweig";"Volker Ovelgönne";"";"";"DE";"";"";"";""
"Brose Fahrzeugteile SE & Co. KG, Würzburg";"Stefan Pausch";"";"";"DE";"";"";"";""
"Realschule Obrigheim";"Joachim Pfisterer";"";"";"DE";"";"";"";""
"Festo Didactic SE";"Reinhard Pittschellis";"";"";"DE";"";"";"";""
"Brandenburgische Technische Universität Cottbus–Senftenberg";"Heike Postelt";"";"";"DE";"";"";"";""
"Zahlenland Prof. Preiß e.K.";"Gabriele Preiß";"";"";"DE";"";"";"";""
"Stadt Baden-Baden";"Monika Probst";"";"";"DE";"";"";"";""
"Pädagogische Hochschule Graubünden";"Rico Puchegger";"";"";"CH";"";"";"";""
"Fachhochschule Kiel";"Matthias Riedel";"";"";"DE";"";"";"";""
"Heinz-Nixdorf-MuseumsForum";"Irmgard Rothkirch";"";"";"DE";"";"";"";""
"Ecole Polytechnique Federale de Lausanne";"Pauline Ruffiot";"";"";"CH";"";"";"";""
"Siemens Professional Education";"Larissa Sailer";"";"";"DE";"";"";"";""
"CPNV, Centre professionnel du Nord vaudois";"Yann Saison";"";"";"CH";"";"";"";""
"BFI Tirol BILDUNG. FREUDE INKLUSIVE.";"Claudia Schatzlmair-Pratzer";"";"";"AT";"";"";"";""
"Ursulaschule Osnabrück";"Stephan Schirdewan";"";"";"DE";"";"";"";""
"Stadt Baden-Baden";"Alexander Schlenkermann";"";"";"DE";"";"";"";""
"Hochschule Luzern";"Tim Schmid";"";"";"CH";"";"";"";""
"Realschule plus und Fachoberschule im Einrich";"Frank Schmidt";"";"";"DE";"";"";"";""
"Verein Freunde und Förderer des BSZ 7 Leipzig e.V.";"Uwe Schneider";"";"";"DE";"";"";"";""
"Landesverband Sächsischer Jugendbildungswerke e.V.";"Sylvia Schöne";"";"";"DE";"";"";"";""
"Verein robotix4me";"Erika Schreiber";"";"";"AT";"";"";"";""
"QualifizierungsCENTRUM der Wirtschaft GmbH";"Holger Schulz";"";"";"DE";"";"";"";""
"Private Pädagogische Hochschule der Diözese Linz";"Joachim Schwendtner";"";"";"DE";"";"";"";""
"Gymnasium am Kaiserdom";"Jessica Senzig";"";"";"DE";"";"";"";""
"Hochschule Fulda";"Sascha Skorupka";"";"";"DE";"";"";"";""
"ECPE European Center for Power Electronics e.V.";"Lena Somschor";"";"";"DE";"";"";"";""
"Junior Uni Wuppertaler Kinder- und Jugend-Universität für das Bergische Land gGmbH";"Annika Spathmann";"";"";"DE";"";"";"";""
"Brose Fahrzeugteile SE & Co. KG, Würzburg";"Michael Stammberger";"";"";"DE";"";"";"";""
"Fachhochschule Westküste";"Ingmar Georg Stauff";"";"";"DE";"";"";"";""
"HTL Bregenz - School of Engineering";"Daniel Steinacher";"";"";"AT";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Universität Heidelberg";"Jakub Stribrny";"10369";"Berlin";"DE";"Storkower Str. 205a, Appartement 14";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Diarrhööö";"Jakub Stříbrný";"";"";"";"";"";"";""
"Jakub Diarrhööö";"Jakub Stříbrný";"";"";"";"";"";"";""
"Bernard";"Jakub Stribrny";"10369";"Berlin";"DE";"Storkower Str. 205a, Appartement 14";"";"";""
"Bernard";"Jakub Stribrny";"10369";"Berlin";"DE";"Storkower Str. 205a, Appartement 14";"";"";""
"experimenta";"Jakub Stribrny";"10369";"Berlin";"DE";"Storkower Str. 205a, Appartement 14";"";"";""
"experimenta";"Jakub Stribrny";"10369";"Berlin";"DE";"Storkower Str. 205a, Appartement 14";"";"";""
"Jakub Stříbrný";"Jakub Stříbrný";"";"";"";"";"";"";""
"Technische Universität Ilmenau";"Udo Sturm";"";"";"DE";"";"";"";""
"Pädagogische Hochschule Wien";"Paul Szepannek";"";"";"AT";"";"";"";""
"Pädagogische Hochschule Wien";"Bianca Tanase";"";"";"AT";"";"";"";""
"Westsächsische Hochschule Zwickau";"Tobias Teich";"";"";"DE";"";"";"";""
"TEst";"Tina Test";"";"";"";"";"";"";""
"TEst";"Tina Test";"";"";"";"";"";"";""
"Testen";"Lieferadresse? Test";"42489";"Leipzig";"DE";" Plaut 80";"";"";""
"Testrechnungsname";"Test Test";"";"";"";"";"";"";""
"Testrechnungsname";"Tina Test";"04179";"Le";"DE";" Plautstraße 80";"";"";""
"Testen";"T Test mit abweichender Lieferadresse";"";"";"";"";"";"";""
"";" Testperson";"";"";"DE";"";"";"";""
"Hochschule Luzern";"Eveline Thaler";"";"";"CH";"";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";"Helfer Thomas";"86159";"Ausburg";"DE";"Am Technologiezentrum 5";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";"Julia Thurner-Irmler";"86135";"Augsburg";"DE";"Anwenderzentrum Material- und Umweltforschung – AMU, Universität Augsburg, Universitätsstr. 1a";"";"";""
"Jakub Stříbrný";"Aleksandar Turuntas";"";"";"DE";"";"";"";""
"Universität Heidelberg";" Vertragsadresse";"69120";"Heidelberg";"DE";"Interdisziplinäres Zentrum für Wissenschaftliches Rechnen (IWR) , Uni Heidelberg , Mathematikon , Dr. Michael Winckler , Im Neuenheimer Feld 205";"";"";""
"HTL-BULME Graz-Gösting";" Vertragsadresse";"8051";"Graz";"AT";"Herrn Karl Mohr, Ibererstraße 15-21";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";" Vertragsadresse";"86159";"Augsburg";"DE";"Herr Heiko Bartschat, Am Technologiezentrum 5";"";"";""
"HTL Bregenz - School of Engineering";"Claudia Vögel";"";"";"AT";"";"";"";""
"Kooperative Gesamtschule Leeste";"Wiebke Vogelsang";"";"";"DE";"";"";"";""
"Kopernikus-Gymnasium Rheine";"Jan von Delft";"";"";"DE";"";"";"";""
"Schulverbund Süßen";"Helmut von Eiff";"";"";"DE";"";"";"";""
"John Deere";"Markwart von Pentz";"";"";"DE";"";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";" Weitere E-Mail";"86135";"Augsburg";"DE";"Anwenderzentrum Material- und Umweltforschung – AMU, Universität Augsburg, Universitätsstr. 1a";"";"";""
"experimenta gGmbH";"Thomas Wendt";"";"";"DE";"";"";"";""
"Verein Freunde und Förderer des BSZ 7 Leipzig e.V.";"Sebastian Windt";"";"";"DE";"";"";"";""
"Realschule plus und Fachoberschule im Einrich";"Stefan Wirges";"";"";"DE";"";"";"";""
"Fachhochschule Nordwestschweiz";"Moritz Wiss";"";"";"CH";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Jörn Wunderlich";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Dominic Zahn";"76131";"Karlsruhe";"DE";" B305";"";"";""
"HTL Hollabrunn";"Gerald Zottl";"";"";"AT";"";"";"";""
